;phoneId;location;motionType;mean(SCL);mean(SCR);mean(HR);mean(RR);mean(skinTemp);mad(SCL);mad(SCR);mad(HR);mad(RR);mad(skinTemp);std(SCL);std(SCR);std(HR);std(RR);std(skinTemp);RMSSD;SDNN;NN50;PNN50;receptivity
1;5a2b02b7b07e944d86d41969;{'lat': 48.14909961605763, 'long': 11.5759786125449};1.0;797.7185572139305;2.0889651741293576;66.91761194029851;0.8977609265671633;30.402776119402983;40.50352054652115;2.5806037513922906;4.204116373357095;0.0944672856850077;0.08091726442414858;48.08551313184413;4.608415435052574;5.005172381263765;0.12409124527327903;0.09026375478001675;0.05698524437238034;0.12405423461129925;0;0.0;1.0
2;5a2b02b7b07e944d86d41969;{'lat': 48.14921149629941, 'long': 11.561930143758659};1.0;3683.7773849607183;60.96463524130189;70.84646464646465;0.7759022545454537;31.275548821548824;1874.4471035079566;79.60117059861616;4.559640852974185;0.15350936683195596;0.47134988039769166;2152.895329062262;171.53505194325214;5.149712389542682;0.1979331339469515;0.5298384268482089;0.09950712162247385;0.19786654519251756;0;0.0;-1.0
3;5a2b02b7b07e944d86d41969;{'lat': 48.14917697291638, 'long': 11.561860877576558};1.0;2850.159164054337;16.99256008359457;67.19373040752352;0.8987974821316608;30.28595611285267;196.8267658009127;16.96201756403075;3.079139552480814;0.08333747081259012;0.09674063737581098;253.4810710284253;33.548884314440116;3.79105608153547;0.10412381424534387;0.12679530557406682;0.050834459312228956;0.10409120106399807;0;0.0;-1.0
4;5a2b02b7b07e944d86d41969;{'lat': 48.14905602593023, 'long': 11.561804220518173};1.0;2191.74976825029;9.11917728852838;71.882966396292;0.8371558006952483;29.80298957126303;122.99553584176212;8.600105625592176;6.134328899296291;0.10798415229420127;0.07124595680002767;148.28885103627314;17.55657149431716;7.197187805245455;0.13777718857905727;0.08644222690219913;0.060027764056818624;0.13769742066101623;0;0.0;1.0
5;5a2b02b7b07e944d86d41969;{'lat': 48.1956865888587, 'long': 11.60878143220989};1.0;5258.323577235772;82.09186991869916;70.93709884467266;0.8367990962772778;30.369537869062903;887.9986756003632;97.56452090965068;1.789200136444307;0.0820671876026833;0.3184378774670792;1094.4371738148207;180.76678843584872;2.2587638053958683;0.10974893870052012;0.3580899763015341;0.06515886647363582;0.10971374715971832;0;0.0;1.0
6;5a2b02b7b07e944d86d41969;{'lat': 48.1491124851857, 'long': 11.561821631558338};1.0;272066.0;0.0;79.06020942408377;0.6752480698080272;20.46130890052356;0.0;0.0;3.1302184698884337;0.13765403477609342;0.18004970623977787;0.0;0.0;3.91111343997879;0.1710416604759923;0.21033023867391049;0.11971561656427415;0.17096709327599796;0;0.0;-1.0
7;5a2b02b7b07e944d86d41969;{'lat': 48.14915276589629, 'long': 11.561875105758647};1.0;272066.0;0.0;82.15119760479043;0.6546015928143705;20.362754491017967;0.0;0.0;3.2951925490336698;0.12079741154218498;0.19182831940908543;0.0;0.0;3.7836092476893346;0.15392216599082387;0.21948742377024386;0.11421907378327063;0.15386460719032244;0;0.0;-1.0
9;5a2b02b7b07e944d86d41969;{'lat': 48.19562753889745, 'long': 11.6088507460605};1.0;4011.3420790878213;23.717552159146045;76.59825327510917;0.7365930247452684;27.58775109170305;239.21691947281846;24.104921809836387;3.7015312446368296;0.07708854220510251;0.013061472257713034;298.6684610023754;52.81447463055222;4.403719196181824;0.0998377886568223;0.015327235929070962;0.05642080412969595;0.09980148728880871;0;0.0;1.0
10;5a2b02b7b07e944d86d41969;{'lat': 48.19571270267564, 'long': 11.609177441166285};1.0;5230.529895320197;50.43876231527092;74.4371921182266;0.7854227783251224;29.63442118226601;749.5658980744498;54.857214822611574;2.0198530660777987;0.0501320260137351;0.5929130014074598;858.7604936999559;111.4622075720208;2.4522040579593956;0.06356798830743529;0.6593432270155618;0.03524003681018055;0.0635484334341007;0;0.0;-1.0
11;5a2b02b7b07e944d86d41969;{'lat': 48.149171801801884, 'long': 11.561890681321579};1.0;1922.1480318257954;18.62567001675042;73.00251256281408;0.6636174673366827;32.00277638190955;112.5075983455805;19.76866540617661;2.0808281356531406;0.20243708522512055;0.1995609801520164;133.5338867458586;33.32489289594405;2.537956976125521;0.2523620965416737;0.21965822316584108;0.1398832973148048;0.25228290387340235;0;0.0;1.0
12;5a2b02b7b07e944d86d41969;{'lat': 48.19543611287825, 'long': 11.60899122744093};1.0;3174.588069216758;15.80138888888889;74.11680327868852;0.7762653333333327;29.846734972677602;193.29442839439815;11.706845780206436;2.2989591731613364;0.07174201275045548;0.17186822538744012;239.304297072817;20.74581013676443;2.8033066403539477;0.09096365667194489;0.20478385512574768;0.05654293592024205;0.09093261559859808;0;0.0;-1.0
13;5a2b02b7b07e944d86d41969;{'lat': 48.149252604163614, 'long': 11.561976041441792};2.0;3981.026234364713;48.47949308755761;77.93350888742594;0.7079508202764969;30.209499670836074;384.06202081078777;55.050209279490005;1.790982858772424;0.11094652603732141;0.03452562472885654;489.5591373053501;98.44604569285373;2.245223945394682;0.14846125670492982;0.040903979513930315;0.08710583000539936;0.14841242942173627;0;0.0;-1.0
14;5a2b02b7b07e944d86d41969;{'lat': 48.149233065472124, 'long': 11.561929300582104};1.0;3265.7153271209477;13.581197825664917;77.64414676761794;0.7514716831683161;28.98456610366919;100.37460293769968;10.71696035409152;2.9159045062750817;0.07177284404643153;0.1224687382233031;123.46357158673598;19.570218210022457;3.69539290401487;0.09258191726724277;0.14001623646115754;0.054158641059439835;0.0925549799211779;0;0.0;-1.0
15;5a2b02b7b07e944d86d41969;{'lat': 48.14923013567114, 'long': 11.561947250218015};1.0;2005.968889530408;8.541676289453425;77.96651270207852;0.7303928683602765;32.54942840646651;61.75437458997594;7.180854710142992;3.6669791294422605;0.06759057028412341;0.1575105606195558;76.58455767531065;11.785468072441446;4.180644911450015;0.08500356020466059;0.17637425107637122;0.04646294351313622;0.08497904205966615;0;0.0;-1.0
16;5a2b02b7b07e944d86d41969;{'lat': 48.149135725171085, 'long': 11.561861657077733};1.0;9815.873916516877;114.61124425803878;70.34092270820851;0.8641360143798674;29.908262432594373;3661.596829938386;144.22393253399707;4.634415832214767;0.07763412334965904;0.20140026371707334;4597.759845665999;367.4231814116597;5.420507675914305;0.09771040833885397;0.2567654840932816;0.04232774189015465;0.09768116107473768;0;0.0;1.0
17;5a2b02b7b07e944d86d41969;{'lat': 48.14922590058436, 'long': 11.561897469904624};1.0;3234.450329218107;93.89152263374486;73.90987654320988;0.7145723753086413;30.706493827160497;2252.9098691256418;147.54673840369864;2.528431641518061;0.15149937463191587;0.0677098003353148;2985.3156640774673;379.13570877853726;3.1707474305370567;0.19575785208179694;0.07428175721795395;0.0983200396386459;0.1956974840653031;0;0.0;-1.0
18;5a2b02b7b07e944d86d41969;{'lat': 48.14912611914993, 'long': 11.561844340351033};1.0;2183.92675134719;4.522940723633565;76.02251732101617;0.7733002401847568;30.578065819861425;62.86210142106114;3.9265829817571514;2.180647264639526;0.05683165311031596;0.05094591549371083;77.63141011034391;6.313063717610834;2.8370049772918486;0.073064769647545;0.06181736623839216;0.036049069616162444;0.07304369508770435;0;0.0;1.0
19;5a2b02b7b07e944d86d41969;{'lat': 48.14891322533148, 'long': 11.563353884101826};1.0;3834.602878787879;24.381839826839823;76.78961038961039;0.7080905350649342;28.10359740259741;165.75324203069655;18.35295634452128;4.975452858829483;0.10215041522010451;0.03739488952605955;192.46294487839072;27.778434058633827;5.404245543421319;0.12907034334868545;0.04901943223446159;0.07336579665496586;0.12902847248029628;0;0.0;-1.0
20;5a2b02b7b07e944d86d41969;{'lat': 48.1469788149747, 'long': 11.576219194778604};1.0;2886.3786470823343;19.80188848920863;74.40167865707434;0.7492163357314141;29.07625299760192;110.25262862851207;17.370026748385467;2.1025611165743667;0.1296932054011468;0.061754962936125875;132.76254491329664;27.937648018913883;2.5707593079034607;0.16956016026115583;0.07258481266767329;0.0931825653688305;0.16950937606685917;0;0.0;-1.0
21;5a2b02b7b07e944d86d41969;{'lat': 48.14898054261904, 'long': 11.561743682400406};1.0;3724.209463193211;15.302713637260698;75.06927175843694;0.7932528123149786;28.045014801657786;191.42633735767828;14.33448555490238;2.634543651482217;0.05635654918935308;0.26570742109025086;223.13271459577985;31.6367594185759;3.187365386458039;0.07387634762173502;0.3078197145676606;0.03719078337005056;0.07385449639874007;0;0.0;1.0
22;5a2b02b7b07e944d86d41969;{'lat': 48.14697099185076, 'long': 11.576224783714537};2.0;4242.318697916667;48.68123958333334;71.890625;0.8262919699999992;29.780575;810.9085536458334;55.29403871093749;4.081640625;0.10565579496250002;0.10233703125000047;1047.050435494882;94.89841778465882;5.197648201460093;0.1348651692638038;0.11658597495399077;0.060124279340036696;0.13482305944334944;0;0.0;-1.0
23;5a2b02b7b07e944d86d41969;{'lat': 48.14703451030899, 'long': 11.57620152671424};1.0;2179.1188961988305;5.526839668615981;73.37865497076024;0.8119164210526308;30.191549707602334;56.25845863898293;4.306202478255417;2.041006207038063;0.05965670452446906;0.049539516432406776;67.41150270606705;8.120801810033097;2.483575413842808;0.07844464346957737;0.05743680487643177;0.042329863102236714;0.07841599560102999;0;0.0;1.0
24;5a2b02b7b07e944d86d41969;{'lat': 48.14693053944709, 'long': 11.576281147926897};1.0;2719.9191361668636;12.95402400629673;78.2556080283353;0.7241320802833522;30.630802833530108;79.70111767950132;13.366284899315923;2.823098121155436;0.07362095355926672;0.04952445536646478;95.45067995342824;23.814182954983547;3.6458977524853275;0.09410304243120862;0.05924364853343257;0.045931533223144284;0.09407529070189183;0;0.0;-1.0
