;phoneId;location;heartRates;gsr;rrInterval;motionType;skinTemperature;mean(GSR);mean(HR);mean(RR);mean(skinTemp);mad(GSR);mad(HR);mad(RR);mad(skinTemp);std(GSR);std(HR);std(RR);std(skinTemp);receptivity
0;5a26ff32b07e944d86d30c6b;{u'lat': 48.1490973698, u'long': 11.5759345058};0.157894736842;-0.801031687546;0.0714285714286;1.0;1.0;1813.0;72.0;0.846192;32.33;0.0;0.0;0.0;0.0;;;;;-1.0
3000;5a26ff32b07e944d86d30c6b;{u'lat': 48.1490973698, u'long': 11.5759345058};0.157894736842;-0.109801031688;0.0714285714286;1.0;1.0;2282.0;72.0;0.846192;32.33;0.0;0.0;0.0;0.0;;;;;-1.0
6000;5a26ff32b07e944d86d30c6b;{u'lat': 48.1490973698, u'long': 11.5759345058};-0.0304709141274;-0.290074855525;-0.0413533834586;1.0;1.0;2159.68421053;70.2105263158;0.819994105263;32.33;6.64265927978;0.376731301939;0.0463289085873;0.0;9.67271438164;0.630603535285;0.05168016325;0.0;-1.0
9000;5a26ff32b07e944d86d30c6b;{u'lat': 48.1490973698, u'long': 11.5759345058};-0.0526315789474;-0.245476131991;-0.404761904762;1.0;1.0;2189.94444444;70.0;0.735578666667;32.33;11.3888888889;0.0;0.0712841481481;0.0;12.7946322487;0.0;0.0840267416481;0.0;-1.0
12000;5a26ff32b07e944d86d30c6b;{u'lat': 48.1490973698, u'long': 11.5759345058};-0.0526315789474;-0.221602273924;-0.268707482993;1.0;1.0;2206.14285714;70.0;0.76718247619;32.33;1.51020408163;0.0;0.0191880272109;7.1054273576e-15;2.00713014739;0.0;0.0234086965883;7.28089643044e-15;-1.0
15000;5a26ff32b07e944d86d30c6b;{u'lat': 48.1490973698, u'long': 11.5759345058};0.157894736842;-0.240481454188;-0.19387755102;1.0;1.0;2193.33333333;72.0;0.784564571429;32.33;2.19047619048;2.47619047619;0.0203167346939;7.1054273576e-15;2.61406452356;2.62678510731;0.0217240274088;7.28089643044e-15;-1.0
18000;5a26ff32b07e944d86d30c6b;{u'lat': 48.1490973698, u'long': 11.5759345058};0.558897243108;-0.230515492859;0.0510204081633;1.0;1.0;2200.0952381;75.8095238095;0.841451428571;32.33;2.20408163265;0.308390022676;0.0455997823129;7.1054273576e-15;2.54764129941;0.402373908081;0.0535443293324;7.28089643044e-15;-1.0
21000;5a26ff32b07e944d86d30c6b;{u'lat': 48.1490973698, u'long': 11.5759345058};-0.0877192982456;-0.202372179528;0.598639455782;1.0;1.0;2219.19047619;69.6666666667;0.968656761905;32.33;8.92517006803;3.39682539683;0.0289701587302;7.1054273576e-15;10.2402101913;3.67876790969;0.036531119438;7.28089643044e-15;-1.0
24000;5a26ff32b07e944d86d30c6b;{u'lat': 48.1490973698, u'long': 11.5759345058};-0.547987616099;-0.181498981317;0.0966386554622;1.0;1.0;2233.35294118;65.2941176471;0.852048;32.33;5.8339100346;0.415224913495;0.0296244705882;7.1054273576e-15;8.11588855633;0.469668218314;0.0361334260761;7.32410687764e-15;-1.0
27000;5a26ff32b07e944d86d30c6b;{u'lat': 48.1490973698, u'long': 11.5759345058};-0.49373433584;-0.113099624522;0.224489795918;1.0;1.0;2279.76190476;65.8095238095;0.881746285714;32.33;11.0793650794;0.308390022676;0.0803639727891;7.1054273576e-15;13.4495530108;0.402373908081;0.0959307075639;7.28089643044e-15;-1.0
30000;5a26ff32b07e944d86d30c6b;{u'lat': 48.1490973698, u'long': 11.5759345058};-0.44976076555;0.0842098211295;-0.0519480519481;1.0;0.488111888112;2413.63636364;66.2272727273;0.817533090909;32.1636363636;32.8016528926;0.351239669421;0.0337324958678;0.241983471074;39.8121128428;0.428932027229;0.0441014456894;0.278063806562;-1.0
33000;5a26ff32b07e944d86d30c6b;{u'lat': 48.1490973698, u'long': 11.5759345058};-0.25313283208;0.117801873881;0.108843537415;1.0;-0.876923076923;2436.42857143;68.0952380952;0.854883047619;31.72;4.69387755102;0.689342403628;0.0383008072562;1.7763568394e-14;6.16904715958;0.830948969839;0.0444030712074;1.82022410761e-14;-1.0
36000;5a26ff32b07e944d86d30c6b;{u'lat': 48.1490973698, u'long': 11.5759345058};-0.181286549708;0.075411446819;0.369047619048;1.0;-0.876923076923;2407.66666667;68.7777777778;0.915325333333;31.72;6.37037037037;0.395061728395;0.0107540740741;1.42108547152e-14;11.3448614955;0.646761666764;0.0130397398747;1.46228488639e-14;-1.0
39000;5a26ff32b07e944d86d30c6b;{u'lat': 48.1490973698, u'long': 11.5759345058};-0.224880382775;-0.0224425537616;-0.025974025974;1.0;-0.876923076923;2341.27272727;68.3636363636;0.823566545455;31.72;10.6859504132;0.636363636364;0.0700703471074;1.7763568394e-14;13.115537199;0.72673140027;0.0789182510032;1.8181591902e-14;-1.0
42000;5a26ff32b07e944d86d30c6b;{u'lat': 48.1490973698, u'long': 11.5759345058};-0.210526315789;-0.0371223286662;0.263392857143;1.0;-0.876923076923;2331.3125;68.5;0.890783;31.72;9.484375;0.5;0.055090625;1.42108547152e-14;10.7871451274;0.516397779494;0.0628801776333;1.46769076393e-14;-1.0
45000;5a26ff32b07e944d86d30c6b;{u'lat': 48.1490973698, u'long': 11.5759345058};-0.335526315789;-0.0472549742078;0.308035714286;1.0;-0.876923076923;2324.4375;67.3125;0.901153;31.72;10.171875;0.4296875;0.067405;1.42108547152e-14;11.5410499234;0.478713553878;0.0782276582972;1.46769076393e-14;-1.0
48000;5a26ff32b07e944d86d30c6b;{u'lat': 48.1490973698, u'long': 11.5759345058};-0.279778393352;-0.0599232052127;0.229323308271;1.0;-0.876923076923;2315.84210526;67.8421052632;0.882869052632;31.72;7.18559556787;0.265927977839;0.042743933518;1.7763568394e-14;8.52618944387;0.374634324633;0.055190108757;1.82503316251e-14;-1.0
51000;5a26ff32b07e944d86d30c6b;{u'lat': 48.1490973698, u'long': 11.5759345058};-0.31983805668;-0.0444986111898;0.0824175824176;1.0;-0.876923076923;2326.30769231;67.4615384615;0.848744615385;31.72;1.88165680473;0.497041420118;0.035540260355;1.06581410364e-14;2.49615088301;0.518874521663;0.0394073994353;1.10933449065e-14;-1.0
